,Diluent (CO2) mean,V mean,Error mean,Diluent (CO2) std,V std,Error std,count,Lower Limit,Upper Limit
"(0.184, 0.194]",0.18870065263636365,1696.3215243636362,43.662977616363634,0.003084359124144249,152.42596882844376,4.121216289259177,11,1606.2451883002007,1786.3978604270717
"(0.194, 0.204]",0.1986968509230769,1760.5561883846153,45.409205399230764,0.002589295438103878,72.92044224684679,2.0025334387227773,13,1720.9169128282967,1800.195463940934
"(0.133, 0.143]",0.14179225325,1780.8915459999998,45.9649649725,0.0007618876438274356,23.6311723243214,0.6540338653584055,4,1757.733422665935,1804.0496693340647
"(0.153, 0.163]",0.15815265577777776,1817.175390111111,46.97300603222222,0.003951851984803299,36.601228317628255,1.0179578082150516,9,1793.263027013618,1841.087753208604
"(0.143, 0.153]",0.1497641353088236,1810.7714468970582,46.79749003676471,0.0028302073386453183,53.18837641112317,1.4759397312230655,68,1798.129604602957,1823.4132891911595
"(0.245, 0.255]",0.2513852657692308,1656.2831584615383,42.585713102307686,0.002082897900031863,192.75486617068503,5.23563187889865,13,1551.5023450224717,1761.0639719006049
"(0.276, 0.286]",0.279820271,1485.6046509999999,37.91550107,,,,1,,
"(0.163, 0.173]",0.165940865,1779.9879576111111,45.94305260222222,0.0013122672796799257,50.84823290437402,1.4055364607621406,18,1756.4977041299128,1803.4782110923095
"(0.204, 0.214]",0.20799899170588235,1705.353155470588,43.90041309117647,0.0017325013782772593,120.30579995453265,3.253149911096387,17,1648.1644592661726,1762.5418516750035
"(0.214, 0.224]",0.223878173,1703.493333,43.83017202,,,,1,,
"(0.255, 0.265]",0.257594076,1380.3422640000001,18251.71429,,,,1,,
