,Diluent (N2) mean,V mean,Error mean,Diluent (N2) std,V std,Error std,count,Lower Limit,Upper Limit
"(0.388, 0.398]",0.390416385,1750.164384,45.11488191,0.001750863188740195,0.0,0.0,4,,
"(0.378, 0.388]",0.38229275570000004,1778.8472406,45.913029682000015,0.0030128870710241394,60.07462770090004,1.6652585016784403,20,1752.5188579517076,1805.1756232482926
"(0.367, 0.378]",0.3726672784615385,1813.5489244615385,46.88924783923076,0.0033473734013988814,111.11502913639993,3.1055253218986865,26,1770.8384671534407,1856.2593817696363
"(0.357, 0.367]",0.36215990000000003,1833.9887135769231,47.46556725999999,0.003112061038331955,135.42907344890426,3.707786925845508,26,1781.9324102598066,1886.0450168940397
"(0.214, 0.224]",0.21868954615999991,1826.7880681999998,47.243100868399985,0.0023279041494265957,54.304363895229606,1.50869589126381,50,1811.7359430797446,1841.840193320255
"(0.204, 0.214]",0.2108510251428571,1883.6883132857145,48.83030309428572,0.0024088518201379238,44.282426355464125,1.242758542593163,7,1850.884035558707,1916.492591012722
"(0.184, 0.194]",0.18741116528571428,1872.3471487142856,48.514168309999995,0.0043043693168225315,54.673983491044176,1.5316545526497884,7,1831.8448391866884,1912.8494582418828
"(0.173, 0.184]",0.1793358176862745,1857.568173647059,48.100158304509804,0.0025387579553694728,46.297331890162354,1.2864382111846127,51,1844.861877701791,1870.274469592327
"(0.163, 0.173]",0.169273749,1864.2786616400006,48.28818649139998,0.0023104589131455826,49.435402440163195,1.3787583580799443,50,1850.576118979983,1877.9812043000181
"(0.133, 0.143]",0.13734207441071433,1837.3596038928574,47.54199562964285,0.0033586300848217764,76.45323203738825,2.1210677060064524,56,1817.3356458168666,1857.3835619688482
"(0.112, 0.122]",0.121794902,1851.6231879999998,47.93082976,,,,1,,
"(0.122, 0.133]",0.1305192295238095,1846.3472853333335,47.79458449190476,0.0022896273181736006,84.71541949490987,2.369553276496257,21,1810.1145677094894,1882.5800029571776
"(0.153, 0.163]",0.15920915060000002,1896.1809656,49.179702804,0.003576033101154862,37.82635191198627,1.061639590995939,5,1863.025315521362,1929.336615678638
"(0.194, 0.204]",0.19862664269696967,1872.2583208181811,48.510128685454546,0.0017300620700606492,40.98028408687564,1.1415567145230474,33,1858.276424226819,1886.2402174095432
"(0.224, 0.235]",0.2287028064166667,1852.9822597777772,47.97058008416667,0.0016937247864661133,34.113934982351466,0.9520428837964697,36,1841.838579121719,1864.1259404338355
"(0.245, 0.255]",0.25223282090909094,1857.3846886363642,48.09441283818182,0.002640893984065233,42.826875961527115,1.200591900838932,11,1832.0760873441563,1882.693289928572
"(0.255, 0.265]",0.256885432,1847.3871701250005,47.814920115625,0.0011561910064386552,39.252860614795374,1.095286656331194,16,1828.153621851208,1866.6207183987929
"(0.276, 0.286]",0.2784032376,1827.2408942666664,47.261719735333344,0.0017771911831057788,84.93092774260924,2.357527725683804,15,1784.260704405511,1870.2210841278218
"(0.265, 0.276]",0.274686022,1879.2593549999997,48.704741580000004,0.0011078977331901913,39.08344218340769,1.094476591924846,2,1825.0934630092654,1933.425246990734
"(0.337, 0.347]",0.34306364925,1901.40258,49.3295467975,0.003702003415096441,64.5417754298698,1.81814733828453,4,1838.1528023295914,1964.6523576704085
"(0.347, 0.357]",0.35260203225,1874.4637436250002,48.57164692375001,0.003014949313144446,39.69616769307105,1.1128203054850543,16,1855.0129788743297,1893.9145083756707
